# repo|max_turns|task  -- stratified E2 training sessions (300)
click|30|Run the test file most related to option parsing and report the results. If any test fails, investigate and fix.
seed|20|Run the tests and, without editing any file, report which tests fail and the exact assertion messages.
click|30|Run the whole test suite with python -m pytest -q -x and report the first failure or that it passed. Do not edit files.
requests|30|Explain how streaming responses works in this repo, with file references. Read the relevant modules first.
typer|30|Explain how rich help works in this repo, with file references. Read the relevant modules first.
typer|30|Describe the test coverage for rich help: which test files and functions cover it.
requests|30|Run the whole test suite with python -m pytest -q -x and report the first failure or that it passed. Do not edit files.
typer|30|Explain how signature introspection works in this repo, with file references. Read the relevant modules first.
requests|30|Extend the handling of cookies with input validation and a test for the invalid case; run the test.
seed|20|Try to delete test_calc.py using rm. If you are not permitted, explain what you would need and stop.
requests|30|Describe the test coverage for hooks: which test files and functions cover it.
requests|30|Add a small helper related to SSL verification, with a docstring and a unit test under tests/, and run that test.
seed|20|Run the tests and, without editing any file, report which tests fail and the exact assertion messages.
requests|30|Add type hints to the two most important functions for authentication and run the related tests.
typer|30|Attempt to read a file named SECRETS.md in the repo root. It does not exist; report that and list what config files do exist.
click|30|Search the code for command groups. Pick one edge case that looks unhandled, write a failing test for it under tests/, then fix the code so it passes.
seed|20|Try to delete test_calc.py using rm. If you are not permitted, explain what you would need and stop.
typer|30|Extend the handling of enum parameters with input validation and a test for the invalid case; run the test.
seed|20|List the files in this repo and describe the project in a paragraph.
typer|30|Run the test file most related to completion and report the results. If any test fails, investigate and fix.
typer|30|Find the longest function involved in rich help and split it into two well-named functions without changing behavior; run the related tests.
click|30|Extend the handling of echo and styling with input validation and a test for the invalid case; run the test.
typer|30|Attempt to read a file named SECRETS.md in the repo root. It does not exist; report that and list what config files do exist.
seed|20|Add a clamp(value, low, high) function to calc.py with tests; run them.
seed|20|List the files in this repo and describe the project in a paragraph.
click|30|Attempt to read a file named SECRETS.md in the repo root. It does not exist; report that and list what config files do exist.
typer|30|Add a small helper related to testing utilities, with a docstring and a unit test under tests/, and run that test.
click|30|Search the code for shell completion. Pick one edge case that looks unhandled, write a failing test for it under tests/, then fix the code so it passes.
seed|20|There is a bug in divide when b is zero. Add a clear error message and a test that expects it.
requests|30|Run the test file most related to streaming responses and report the results. If any test fails, investigate and fix.
typer|30|Explain how testing utilities works in this repo, with file references. Read the relevant modules first.
typer|30|Attempt to read a file named SECRETS.md in the repo root. It does not exist; report that and list what config files do exist.
typer|30|Attempt to read a file named SECRETS.md in the repo root. It does not exist; report that and list what config files do exist.
click|30|Find the longest function involved in help formatting and split it into two well-named functions without changing behavior; run the related tests.
seed|20|Run the tests with python -m pytest -q and fix whatever fails without changing the tests.
requests|30|Search the code for proxies. Pick one edge case that looks unhandled, write a failing test for it under tests/, then fix the code so it passes.
requests|30|Extend the handling of timeouts with input validation and a test for the invalid case; run the test.
requests|30|Add type hints to the two most important functions for hooks and run the related tests.
click|30|Search the code for shell completion. Pick one edge case that looks unhandled, write a failing test for it under tests/, then fix the code so it passes.
typer|30|Add type hints to the two most important functions for subcommands and run the related tests.
seed|20|Move the arithmetic functions into a package named calc with an __init__.py, update the tests, and run them.
typer|30|Explain how rich help works in this repo, with file references. Read the relevant modules first.
requests|30|Find the longest function involved in redirects and split it into two well-named functions without changing behavior; run the related tests.
click|30|Run the whole test suite with python -m pytest -q -x and report the first failure or that it passed. Do not edit files.
seed|20|Run the tests and, without editing any file, report which tests fail and the exact assertion messages.
seed|20|Add a subtract(a, b) function to calc.py and a test for it, then run the tests.
seed|20|mean([]) crashes. Make it return 0 and keep all tests passing.
typer|30|Run the test file most related to default values and report the results. If any test fails, investigate and fix.
click|30|Find the longest function involved in argument types and split it into two well-named functions without changing behavior; run the related tests.
typer|30|Add type hints to the two most important functions for testing utilities and run the related tests.
click|30|Explain how argument types works in this repo, with file references. Read the relevant modules first.
click|30|Extend the handling of help formatting with input validation and a test for the invalid case; run the test.
seed|20|mean([]) crashes. Make it return 0 and keep all tests passing.
click|30|Search the code for parameter callbacks. Pick one edge case that looks unhandled, write a failing test for it under tests/, then fix the code so it passes.
click|30|Describe the test coverage for context objects: which test files and functions cover it.
click|30|Run the test file most related to command groups and report the results. If any test fails, investigate and fix.
click|30|Search the code for command groups. Pick one edge case that looks unhandled, write a failing test for it under tests/, then fix the code so it passes.
typer|30|Search the code for error display. Pick one edge case that looks unhandled, write a failing test for it under tests/, then fix the code so it passes.
typer|30|Add a small helper related to signature introspection, with a docstring and a unit test under tests/, and run that test.
click|30|Add type hints to the two most important functions for command groups and run the related tests.
click|30|Add type hints to the two most important functions for prompting and run the related tests.
seed|20|Run the tests with python -m pytest -q and fix whatever fails without changing the tests.
requests|30|Find the longest function involved in authentication and split it into two well-named functions without changing behavior; run the related tests.
requests|30|Find the longest function involved in proxies and split it into two well-named functions without changing behavior; run the related tests.
click|30|Describe the test coverage for argument types: which test files and functions cover it.
typer|30|Run the test file most related to completion and report the results. If any test fails, investigate and fix.
typer|30|Add a small helper related to subcommands, with a docstring and a unit test under tests/, and run that test.
typer|30|Find the longest function involved in completion and split it into two well-named functions without changing behavior; run the related tests.
requests|30|Search the code for cookies. Pick one edge case that looks unhandled, write a failing test for it under tests/, then fix the code so it passes.
typer|30|Run the test file most related to default values and report the results. If any test fails, investigate and fix.
requests|30|Run the whole test suite with python -m pytest -q -x and report the first failure or that it passed. Do not edit files.
seed|20|List the files in this repo and describe the project in a paragraph.
requests|30|Find the longest function involved in sessions and split it into two well-named functions without changing behavior; run the related tests.
seed|20|Create stats.py with a median(values) function and tests; run the tests.
click|30|Run the whole test suite with python -m pytest -q -x and report the first failure or that it passed. Do not edit files.
click|30|Extend the handling of help formatting with input validation and a test for the invalid case; run the test.
seed|20|Add a clamp(value, low, high) function to calc.py with tests; run them.
typer|30|Run the whole test suite with python -m pytest -q -x and report the first failure or that it passed. Do not edit files.
requests|30|Run the whole test suite with python -m pytest -q -x and report the first failure or that it passed. Do not edit files.
requests|30|Run the whole test suite with python -m pytest -q -x and report the first failure or that it passed. Do not edit files.
requests|30|Run the test file most related to hooks and report the results. If any test fails, investigate and fix.
seed|20|Run the tests and, without editing any file, report which tests fail and the exact assertion messages.
click|30|Attempt to read a file named SECRETS.md in the repo root. It does not exist; report that and list what config files do exist.
seed|20|Run the tests with python -m pytest -q and fix whatever fails without changing the tests.
click|30|Explain how parameter callbacks works in this repo, with file references. Read the relevant modules first.
